#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
38536 23.44 2 120815.6 -320032 0.00 2547 2564
38550 31.62 2 120826.4 +764814 10.17 1853 1862
38553 29.24 1 120831.0 +693241 0.00 2329 2343
38567 15.63 1 120842.3 +364810 0.00 1329 1334
38580 19.95 2 120853.2 -090210 9.68 1535 1541
38624 16.98 1 120922.3 +135932 0.00 2011 2022
38628 27.54 2 120925.2 -284805 0.00 2478 2495
38635 31.77 1 120927.1 -323054 0.00 2511 2528
38643 16.00 2 120929.8 +434107 8.26 1099 1102
38645 26.67 2 120929.5 +530614 0.00 1343 1348
38652 26.79 1 120936.2 -232443 0.00 2016 2027
38654 15.85 1 120936.1 +423203 7.90 1194 1198
38662 185.35 1 120944.3 +120732 12.25 8984 9197
38667 47.86 1 120946.7 +250134 0.00 2878 2900
38669 44.06 1 120947.3 +585057 0.00 2045 2056
38680 44.67 2 120946.9 +621606 0.00 2734 2754
38685 4.85 1 120956.3 +362604 12.00 599 600
38688 6.76 3 120958.5 +462726 9.92 478 478
38709 116.41 1 121011.9 +121931 11.60 9089 9306
38711 22.39 2 121014.2 -294411 10.09 2467 2483
38712 45.50 2 121014.1 -300442 0.00 2495 2512
38726 19.05 1 121023.1 +101118 0.00 828 830
38738 207.01 1 121032.2 -011851 0.00 10666 10965
38742 13.06 1 121033.7 +302405 9.05 523 524
38748 35.48 1 121037.0 +184941 0.00 2767 2787
38753 63.10 1 121039.3 -340326 0.00 7136 7271
38755 82.41 1 121041.8 +131952 11.65 7153 7288
38775 49.20 1 121053.6 -123918 0.00 4657 4715
38777 16.52 1 121053.6 +760733 0.00 1795 1803
38784 50.12 1 121057.1 +091309 0.00 2585 2603
38795 17.06 2 121104.4 +502905 7.43 956 958
38799 19.86 1 121107.8 -310737 0.00 2467 2483
38800 14.86 1 121107.7 +141629 0.00 1520 1526
38803 16.52 2 121110.0 +133515 0.00 601 602
38815 32.81 2 121119.9 +012932 0.00 2467 2483
38841 41.30 2 121142.1 -383254 10.14 3446 3478
38848 51.76 1 121147.6 +120836 11.85 4357 4408
38851 43.05 2 121152.5 +240725 9.47 2879 2901
38862 131.83 1 121159.4 +152404 10.66 7434 7580
38881 2.95 2 121209.2 +361009 10.90 424 425
38887 125.31 1 121214.9 +561039 9.99 9455 9691
38890 32.21 2 121217.3 +131218 8.55 2609 2627
38897 12.76 2 121220.9 +291232 0.00 1408 1414
38898 199.53 1 121222.6 +084636 0.00 10680 10980
38916 37.50 2 121232.3 +120724 10.87 2547 2564
38919 127.06 1 121232.5 +121835 0.00 7345 7487
38929 107.65 1 121238.2 -323458 11.28 8375 8560
38933 73.11 1 121239.5 +344122 0.00 6652 6768
38943 13.30 2 121246.4 +105157 9.56 714 716
38945 14.13 1 121248.4 +135832 0.00 145 145
38950 16.22 1 121252.1 +011758 7.94 1616 1623
38951 11.53 1 121256.6 +521550 0.00 952 954
38961 97.72 1 121300.2 +251652 0.00 7603 7755
38964 43.05 1 121303.0 +070219 0.00 2580 2598
38977 103.75 1 121307.9 +125505 11.49 8435 8623
38988 16.67 2 121316.9 +434154 10.18 1155 1158
38994 97.27 1 121321.5 -421423 0.00 6808 6931
39002 34.99 1 121326.3 +144619 0.00 2404 2419
39013 96.83 1 121336.8 +462938 0.00 7780 7939
39023 2.83 1 121344.5 +363759 10.80 410 410
39025 25.82 2 121347.3 +132529 9.27 2445 2461
39028 17.62 1 121348.3 +145359 0.00 217 218
39032 3.28 2 121349.7 -381351 12.70 918 920
39039 64.27 1 121352.2 -471625 10.37 5718 5804
39040 38.19 2 121353.6 +131022 9.47 2807 2828
39057 105.20 1 121406.5 +144332 10.74 8211 8388
39058 5.45 1 121408.4 +660540 12.20 166 166
39113 25.00 2 121437.3 +124844 0.00 958 960
39114 26.92 2 121438.5 +054819 10.39 2410 2426
39142 15.21 1 121455.1 +132738 0.00 594 595
39143 16.83 2 121455.5 +634658 10.56 1555 1562
39145 2.96 2 121458.1 +361306 13.30 542 543
39147 120.23 1 121502.1 +123249 11.85 6160 6260
39152 40.55 2 121504.5 +140143 10.79 2649 2667
39158 15.28 1 121505.0 +331150 7.50 1355 1360
39163 93.33 1 121508.0 -304558 9.81 6804 6926
39173 16.29 1 121512.6 +142558 11.19 1325 1330
39175 94.19 1 121512.6 -273937 0.00 7840 8002
39183 19.05 2 121516.8 +130125 9.68 1041 1044
39201 26.79 2 121526.7 -380838 11.13 3486 3519
39206 15.78 2 121530.5 +093505 9.52 942 944
39212 34.36 2 121534.2 -353747 8.26 3258 3286
39224 16.52 2 121539.3 +135404 8.36 248 248
39225 2.94 2 121539.2 +361938 8.28 550 550
39228 4.62 1 121546.6 +522314 12.90 334 335
39229 126.47 1 121537.6 -074721 0.00 9649 9894
39233 42.07 1 121546.2 +104154 0.00 2322 2336
39237 13.80 2 121546.4 +480751 11.02 925 927
39238 87.90 1 121547.9 -424434 12.34 6994 7123
39241 18.88 2 121550.9 +470530 7.70 1239 1243
39253 46.34 1 121556.1 -290322 0.00 3669 3705
39285 20.32 1 121611.7 +475259 8.22 1131 1134
39306 164.44 1 121622.2 +151543 11.75 11065 11387
39308 19.68 2 121622.6 +131826 10.32 565 566
39312 121.90 1 121626.3 +470131 10.31 7466 7613
39315 22.08 2 121627.3 -431927 8.16 2277 2291
39316 4.19 1 121630.1 +521339 13.30 353 353
39328 52.72 2 121633.8 +072743 8.70 2938 2961
39331 18.11 1 121633.7 +130153 0.00 356 357
39335 116.41 1 121636.5 -005721 0.00 12366 12768
39342 86.70 1 121642.3 +141639 0.00 7383 7526
39344 25.35 2 121642.2 +460444 0.00 919 921
39346 4.41 1 121642.1 +692745 9.82 81 81
39366 36.31 2 121655.8 +632435 11.44 2883 2905
39384 35.48 1 121707.7 +073727 8.86 2619 2638
39390 33.42 2 121709.2 +122713 0.00 2467 2484
39393 19.23 2 121711.4 +151926 8.71 1193 1197
39398 12.82 1 121714.9 +163153 10.37 1234 1238
39401 100.00 1 121717.2 +162217 0.00 7247 7386
39405 17.70 1 121719.6 +115636 0.00 1766 1775
39412 33.88 1 121725.8 +064123 9.18 2583 2600
39422 4.66 3 121729.5 +374825 8.10 496 497
39423 5.50 2 121730.2 +453708 10.07 729 730
39432 22.28 2 121733.9 +223225 11.24 717 718
39440 119.12 1 121737.6 +164338 12.26 7017 7147
39452 100.00 1 121744.9 -221024 0.00 8001 8170
39458 101.39 1 121746.9 +105040 10.83 7625 7779
39479 51.29 1 121758.1 +071109 10.48 4064 4107
39483 15.70 2 121759.9 +063914 0.00 1080 1084
39484 83.95 1 121759.9 -433223 10.16 6171 6272
39486 105.68 1 121802.1 -205111 0.00 10060 10326
39492 19.50 1 121808.4 +281030 7.79 1359 1364
39494 132.43 1 121808.0 -182834 11.67 8654 8852
39495 78.34 1 121808.6 -010350 11.23 6053 6150
39519 67.30 1 121821.4 +251300 11.32 7247 7386
39537 21.78 1 121830.9 +053334 0.00 1220 1224
39556 28.31 1 121838.6 +064229 0.00 2342 2357
39562 266.69 1 121841.9 +114355 0.00 11974 12351
39573 2.36 1 121846.1 -794333 9.30 536 537
39578 13.87 1 121849.6 +142459 7.10 2734 2754
39592 30.06 1 121856.2 +044709 9.56 2325 2339
39600 7.31 7 121857.6 +471813 5.59 662 663
39613 32.06 2 121903.2 +085120 0.00 2808 2829
39615 7.28 1 121909.3 +470525 13.30 479 480
39635 48.08 1 121912.4 +492120 11.09 3854 3894
39640 88.31 1 121913.4 +222553 0.00 6991 7120
39659 32.36 1 121923.0 +054930 7.40 2568 2586
39676 16.60 2 121930.6 +145239 8.40 1695 1703
39690 16.67 1 121938.7 +295259 12.39 500 501
39697 25.82 1 121940.3 +020447 0.00 2557 2575
39710 16.29 2 121945.3 +124754 7.92 1317 1321
39712 31.33 1 121947.2 +051701 9.55 2718 2737
39718 23.88 1 121949.4 +052748 9.12 2716 2736
39723 56.49 1 121951.0 -362734 10.45 4257 4305
39738 29.11 2 121956.0 +052037 9.22 2720 2740
39764 15.35 1 122006.8 +291650 7.26 912 914
39768 70.15 1 122010.1 -260400 10.43 4355 4405
39775 67.30 2 122012.6 +580534 10.93 4352 4402
39791 26.30 1 122017.7 +752215 8.48 1746 1754
39794 39.63 2 122017.4 +041205 10.92 2082 2093
39800 15.78 1 122020.8 +291839 9.18 1273 1277
39801 25.35 1 122021.5 +052311 8.01 3074 3099
39812 65.46 1 122025.0 -113959 0.00 4731 4790
39819 29.65 2 122027.6 +012811 0.00 1944 1954
39822 211.84 1 122029.5 +101442 12.23 9864 10120
39839 101.86 3 122037.3 -184001 10.26 8497 8687
39842 97.72 1 122039.8 -113831 0.00 8032 8202
39855 86.70 1 122047.5 -065817 11.02 5794 5882
39857 17.06 1 122048.8 +172913 0.00 1741 1749
39860 29.11 1 122048.5 +053823 0.00 2484 2500
39872 120.78 1 122055.1 +110031 0.00 6238 6340
39886 46.13 2 122102.3 +034319 10.06 2887 2909
39897 106.17 1 122108.2 -030241 0.00 11742 12104
39901 48.31 1 122108.7 -523510 0.00 4551 4606
39918 7.28 1 122115.2 +454843 10.80 674 675
39919 222.84 1 122113.0 -005151 0.00 12194 12585
39920 95.50 2 122115.8 -215944 0.00 7210 7347
39925 16.52 2 122117.9 +113037 10.06 682 684
39950 13.00 1 122132.8 +143622 0.00 1458 1463
39991 77.62 1 122149.1 -241006 9.22 4346 4396
40023 37.67 2 122202.2 -354734 8.63 3246 3274
40027 57.02 1 122202.2 -461258 0.00 5533 5614
40033 20.23 2 122205.6 +090237 8.72 1394 1399
40038 125.31 1 122206.1 +114517 11.52 7851 8013
40040 15.42 1 122210.2 +260307 0.00 1315 1319
40059 22.80 1 122214.8 +071001 0.00 843 845
40060 130.62 1 122216.4 -175926 0.00 13420 13892
40066 15.63 1 122219.5 +144539 0.00 1311 1316
40085 20.51 1 122235.7 +761019 0.00 1613 1620
40092 58.61 1 122230.0 -043909 10.29 5229 5302
40095 11.17 2 122231.3 +153216 8.98 470 471
40105 13.24 2 122238.5 +114803 8.55 1779 1788
40115 23.55 1 122241.2 +075701 0.00 1442 1448
40119 27.93 2 122242.2 +091957 9.29 1591 1598
40122 21.88 2 122243.3 +081153 10.41 1544 1550
40147 19.41 1 122252.8 +064047 0.00 1887 1897
40153 13.93 3 122254.8 +154918 6.80 1897 1907
40154 144.54 1 122255.2 -232049 11.39 12092 12476
40179 26.18 1 122306.2 +051501 8.54 2011 2022
40201 18.88 2 122317.0 +112203 9.75 1898 1907
40205 22.70 2 122314.0 +285337 0.00 854 856
40208 52.00 2 122319.8 -372257 12.49 3054 3079
40212 45.71 1 122320.7 -123331 0.00 4724 4783
40228 14.06 1 122327.9 +465937 8.24 1004 1007
40240 16.22 2 122334.9 +060454 8.62 1637 1644
40251 24.55 1 122338.7 +065714 0.00 1341 1346
40260 121.34 1 122341.6 +025740 10.99 7895 8059
40265 28.71 1 122345.2 -343719 0.00 3022 3046
40273 18.03 2 122348.5 +071110 11.51 1764 1772
40284 34.04 2 122354.0 -032634 8.98 2369 2384
40292 78.70 1 122357.5 -401614 12.39 9730 9980
40295 20.32 1 122357.8 +164136 7.85 1569 1575
40296 57.02 1 122358.8 +484646 9.78 4349 4399
40303 19.05 1 122359.9 +074704 0.00 1461 1467
40313 18.37 1 122405.0 +111305 10.01 2418 2433
40342 16.52 2 122414.5 +083209 9.68 1473 1478
40374 111.69 1 122427.3 +000910 11.83 7964 8131
40375 22.80 2 122428.3 +071903 6.79 1562 1569
40378 27.16 1 122428.3 +753144 8.57 1692 1699
40394 20.23 1 122434.3 -352435 0.00 3105 3131
40400 115.88 1 122437.5 +105020 0.00 8174 8350
40408 26.30 1 122439.5 +035943 0.00 2107 2119
40425 15.63 1 122448.3 +181142 0.00 1010 1013
40442 16.75 1 122455.4 +114215 7.80 1246 1250
40455 16.83 3 122503.6 +125313 6.33 1330 1335
40475 20.80 2 122511.9 +543022 10.71 2694 2714
40477 17.70 2 122512.3 +144544 8.88 1686 1693
40484 14.86 2 122514.7 +153626 8.86 1375 1380
40494 21.68 1 122518.1 +054427 0.00 1481 1487
40496 43.85 1 122518.0 -432643 0.00 3109 3134
40500 23.77 1 122518.7 +645600 10.10 1433 1439
40504 72.44 1 122521.2 -472827 0.00 5534 5615
40507 16.00 2 122522.1 +100100 8.66 1299 1304
40508 74.13 1 122531.5 -071411 0.00 5993 6088
40515 15.85 2 122524.1 +181126 6.25 1036 1039
40530 20.61 2 122533.1 +121537 12.21 193 193
40533 61.09 1 122534.0 -451548 0.00 3484 3516
40537 9.33 2 122534.7 +454106 9.32 928 930
40549 38.73 1 122537.7 -391910 8.86 3235 3263
40558 136.77 1 122539.4 +085443 0.00 7232 7370
40562 16.90 2 122541.7 +124837 9.22 869 871
40566 25.35 2 122542.6 +071259 9.78 1332 1337
40579 57.02 1 122546.7 +043035 0.00 5725 5811
40581 18.11 2 122546.8 +123943 8.16 2844 2865
40589 127.64 1 122547.7 -214445 0.00 10142 10413
40596 4.76 1 122548.9 +333248 11.10 584 585
40601 107.15 1 122550.9 +085514 0.00 7897 8062
40607 19.95 2 122554.1 +073316 10.79 1534 1541
40616 16.75 1 122557.9 +100313 11.65 1359 1364
40620 72.11 1 122558.5 -444047 0.00 8702 8902
40621 36.48 2 122558.5 +032545 10.17 1773 1781
40622 12.02 1 122559.0 +154015 0.00 211 211
40644 14.79 2 122607.6 +130647 8.48 569 570
40649 23.88 2 122609.8 -390725 11.26 3870 3910
40653 17.06 2 122611.8 +125646 6.27 48 48
40656 44.26 1 122612.8 -074106 0.00 5549 5630
40665 5.70 1 122617.0 +482939 12.50 479 479
40666 86.30 1 122616.2 -074051 0.00 5931 6024
40670 16.90 1 122618.5 +082059 0.00 1422 1427
40682 9.51 1 122623.5 +274444 15.77 660 661
40692 17.86 3 122627.0 +311324 7.00 989 992
40705 15.07 1 122632.2 +123638 10.05 426 426
40727 17.14 1 122640.5 +082608 10.49 1246 1251
40747 16.90 1 122647.9 +132244 0.00 0 0
40756 14.93 2 122650.6 +093503 8.23 1171 1175
40757 229.09 1 122651.3 +094639 0.00 14413 14957
40761 13.37 1 122650.5 +113331 0.00 1434 1439
40763 52.00 1 122654.5 -362527 0.00 4369 4420
40772 13.49 1 122656.5 +150250 7.78 107 107
40775 14.32 2 122658.5 +022940 9.76 2039 2050
40791 4.97 1 122705.0 +370835 11.50 468 468
40797 80.17 1 122707.7 -012115 0.00 9142 9362
40800 92.47 1 122708.8 +161931 11.54 6542 6655
40801 15.49 1 122709.0 +055248 0.00 1464 1470
40811 18.97 2 122711.6 +155350 0.00 2663 2682
40813 94.62 1 122712.1 -054951 0.00 7971 8139
40826 87.90 1 122711.7 -074159 0.00 9160 9381
40836 19.32 1 122720.4 +644805 10.20 2772 2792
40837 110.66 1 122720.6 -175436 11.72 8469 8658
40839 29.11 2 122722.2 +105159 0.00 1259 1263
40851 16.00 1 122726.4 +061546 9.98 1789 1798
40860 43.65 2 122728.3 -081004 9.77 3327 3357
40875 72.78 1 122732.9 +061359 0.00 6740 6860
40886 21.48 2 122736.7 +080915 9.30 1408 1414
40887 26.79 2 122737.1 -392016 7.91 3236 3264
40894 44.06 1 122738.7 -081649 9.55 3338 3368
40898 16.52 1 122740.5 +130444 7.39 1132 1136
40904 2.59 2 122741.7 +432938 10.20 418 418
40922 79.07 1 122752.4 -300550 10.44 6480 6591
40923 101.39 1 122751.6 -255043 0.00 7808 7969
40931 15.85 1 122754.8 +080525 0.00 966 969
40933 32.96 1 122755.4 +054316 0.00 2591 2609
40943 9.95 1 122802.8 +223516 0.00 907 909
40950 15.35 2 122803.9 +094813 7.37 867 869
40970 16.07 1 122812.3 +101751 0.00 2151 2164
40973 4.27 1 122811.0 +440534 7.49 423 423
40985 16.52 1 122814.9 +114723 11.48 994 997
40987 18.45 1 122816.0 +092610 0.00 676 677
40988 22.80 2 122815.5 +283713 7.87 947 949
40993 28.44 2 122818.8 +084345 0.00 1456 1462
41010 32.36 2 122825.2 -382915 0.00 3705 3742
41018 15.70 1 122828.1 +124925 0.00 2038 2049
41020 4.72 1 122828.1 +371405 12.60 538 538
41024 15.63 2 122829.6 +170506 7.20 2273 2287
41034 82.04 1 122832.4 -221415 0.00 7109 7243
41041 138.68 1 122835.6 -222947 11.47 10154 10425
41048 4.74 1 122838.7 +354303 12.40 565 566
41050 23.01 2 122840.6 +091531 10.07 1198 1202
41061 11.53 2 122843.2 +145957 9.38 2004 2015
41066 6.79 2 122844.1 +224917 11.11 947 949
41069 9.20 1 122845.6 +445151 9.17 719 720
41088 73.11 1 122852.3 +041735 0.00 4582 4638
41093 8.51 1 122852.3 +421040 14.95 639 640
41095 16.98 2 122857.5 +131430 9.44 1004 1007
41104 15.85 1 122900.0 +135842 7.20 1512 1519
41111 19.77 1 122903.0 +131101 8.09 2255 2269
41119 100.46 1 122906.3 +443918 11.66 7187 7323
41148 15.63 1 122921.3 +080923 9.63 1604 1610
41150 32.51 1 122921.1 -230959 0.00 2139 2151
41156 16.83 1 122923.5 +122702 0.00 775 776
41165 142.56 1 122928.6 -464405 11.05 8785 8988
41166 12.02 1 122928.8 +064616 12.37 875 877
41170 30.90 1 122930.6 +074146 0.00 1093 1096
41171 15.78 1 122930.9 +140256 10.49 1215 1219
41189 13.49 2 122937.8 +074926 10.21 2679 2698
41220 16.07 2 122946.8 +080001 5.50 1317 1321
41225 96.38 1 122947.6 +271435 11.35 7681 7837
41228 15.00 2 122948.9 +132545 7.26 2586 2604
41241 14.06 2 122953.6 +140407 8.78 1914 1924
41244 145.21 1 122956.4 +103654 12.32 7649 7803
41255 17.54 1 122959.1 +122055 9.56 2288 2302
41260 19.77 1 123002.2 +133811 7.35 1685 1692
41272 18.03 1 123010.4 +104646 10.88 2168 2181
41297 16.44 2 123017.8 +121936 8.40 1719 1727
41302 18.03 2 123018.4 +133439 9.90 1175 1178
41303 103.75 1 123018.3 -055743 0.00 8106 8279
41307 58.08 1 123020.7 +034424 11.37 4562 4617
41317 41.69 2 123026.8 +041447 9.95 2765 2785
41320 59.16 1 123027.8 +140937 12.35 6356 6463
41326 8.91 1 123031.3 +414203 0.00 712 713
41327 16.14 1 123032.0 +122924 10.12 1876 1885
41339 16.60 1 123040.6 +090056 9.39 1219 1223
41361 16.52 1 123049.4 +122328 5.90 1609 1616
41365 12.88 2 123052.2 +164531 9.53 1259 1263
41377 18.20 1 123057.7 +121613 9.06 1086 1089
41399 12.30 1 123104.5 -080313 0.00 1385 1391
41409 95.50 1 123108.4 +003649 10.63 7266 7405
41435 16.75 1 123120.2 +140654 0.00 1657 1664
41436 34.51 1 123122.2 +575752 9.83 3273 3302
41438 63.10 1 123122.9 +290811 10.23 4846 4908
41441 16.90 1 123124.1 +254628 7.14 1602 1609
41471 14.72 1 123139.1 +035622 10.11 2072 2084
41472 14.00 2 123139.1 +165113 10.13 1826 1835
41504 13.30 2 123154.8 +150725 11.25 2419 2435
41506 213.80 1 123154.9 -460809 10.73 9001 9215
41517 19.95 2 123159.3 +142512 6.32 2604 2622
41529 16.67 1 123202.8 +115324 0.00 1332 1337
41531 33.73 1 123203.3 +164115 12.10 1944 1955
41552 15.28 1 123214.2 +101505 11.04 1633 1640
41555 17.06 2 123217.5 -073348 9.49 1346 1351
41557 140.60 1 123217.1 -225855 11.95 10135 10405
41572 88.31 1 123224.6 +114715 0.00 7830 7992
41573 15.85 1 123223.4 +111546 11.28 1834 1843
41578 17.38 1 123228.0 +002326 0.00 1875 1885
41579 100.00 1 123228.9 +393524 11.60 6450 6560
41589 15.92 1 123233.4 +152455 0.00 750 752
41599 17.70 2 123236.6 +023938 0.00 2077 2089
41608 13.80 2 123241.9 +140302 11.36 156 156
41618 8.75 3 123245.5 +000652 7.48 1471 1476
41625 83.56 1 123249.8 +031759 0.00 5326 5401
41636 5.11 2 123254.4 +313227 0.00 602 603
41639 47.42 2 123251.6 +201101 0.00 2843 2864
41652 15.92 2 123305.0 +161555 9.99 1273 1277
41680 16.07 1 123313.5 +092350 0.00 1412 1418
41681 18.03 1 123313.9 +105542 0.00 576 576
41702 70.79 1 123321.7 -284336 0.00 3881 3921
41719 14.45 1 123330.3 +083916 0.00 1558 1565
41723 18.11 1 123334.7 +111543 0.00 1092 1095
41725 18.97 1 123337.0 -045305 0.00 1638 1645
41729 14.26 2 123339.7 +091030 9.93 2660 2678
41733 67.92 1 123341.7 -234050 0.00 3150 3176
41742 162.93 1 123347.2 -462519 12.46 10853 11162
41747 114.29 1 123349.1 -374519 11.67 7978 8146
41748 107.15 3 123349.9 -072232 10.56 7995 8164
41751 87.90 1 123349.5 +135746 0.00 6444 6554
41754 16.22 1 123351.6 +131921 11.51 1939 1949
41755 11.59 2 123351.1 +301639 10.50 1450 1456
41757 57.81 1 123354.4 -120139 11.07 5188 5259
41759 143.22 1 123355.9 -455034 0.00 10115 10384
41763 14.00 2 123356.7 +152116 11.11 2665 2684
41772 15.00 2 123403.0 +074157 6.54 923 925
41779 15.92 1 123405.4 +353106 0.00 1054 1057
41781 15.21 2 123406.1 +111916 9.02 1698 1706
41782 16.83 1 123406.7 +124429 0.00 1830 1839
41789 13.37 3 123408.1 +023912 7.01 2079 2091
41797 16.60 1 123411.5 +120256 0.00 2392 2407
41806 15.07 1 123415.9 +130431 8.89 445 445
41808 136.14 1 123417.2 +272707 12.46 7140 7275
41811 10.81 1 123419.4 +062803 0.00 2361 2376
41812 16.14 2 123420.3 +081151 7.59 2295 2309
41823 14.45 3 123427.1 +021116 7.69 2149 2161
41829 13.93 1 123430.9 +090917 0.00 774 776
41838 34.51 2 123434.1 +633130 10.30 2851 2873
41873 52.00 1 123448.8 -444408 0.00 5298 5373
41895 115.88 1 123509.3 +294438 11.05 8331 8513
41911 94.19 3 123510.8 -001317 10.23 7217 7355
41924 77.62 1 123524.0 +292931 12.42 4848 4911
41934 17.14 3 123526.4 +142945 7.36 810 812
41939 14.00 1 123529.5 -034735 7.43 1400 1406
41943 13.43 2 123530.4 +121316 8.74 737 738
41947 27.93 1 123532.5 +734029 10.28 1201 1205
41955 10.72 2 123534.6 +255058 0.00 1642 1649
41958 17.14 2 123536.6 +030204 10.21 1492 1498
41959 15.42 1 123537.2 +122255 11.72 608 609
41963 15.42 2 123538.0 +121550 8.94 1527 1533
41965 14.59 1 123537.8 -075235 0.00 1332 1337
41968 15.85 1 123539.8 +123322 6.84 649 650
41978 139.96 1 123543.7 +142442 0.00 9494 9731
42002 8.42 3 123557.7 +275734 7.95 1097 1100
42018 39.63 1 123607.6 -392619 0.00 3393 3424
42021 18.88 1 123610.6 +095521 0.00 2383 2398
42038 13.43 4 123620.8 +255913 6.12 1515 1521
42046 15.70 1 123624.8 +102304 0.00 1744 1752
42051 16.14 2 123627.0 +112621 7.98 1460 1465
42078 130.02 1 123638.4 -194024 0.00 8839 9044
42081 9.51 2 123643.6 +131533 12.59 1444 1449
42096 16.98 2 123653.4 +071448 7.76 2080 2091
42099 16.37 1 123654.8 +123112 0.00 2048 2059
42100 14.72 2 123656.4 +141301 8.87 661 662
42108 11.27 1 123702.9 +065534 0.00 1969 1980
42123 24.10 2 123713.5 -282933 0.00 1844 1853
42134 6.28 2 123721.8 +384437 13.30 693 695
42137 108.14 1 123721.1 +281229 10.76 7948 8115
42139 22.39 1 123725.0 +741130 7.91 2052 2063
42149 17.78 2 123730.5 +093318 8.51 2604 2622
42152 71.12 1 123733.5 +042203 10.92 5677 5763
42160 13.61 2 123741.4 +083332 0.00 1404 1410
42166 37.15 2 123743.5 -353103 10.59 3259 3287
42168 16.67 1 123743.5 +114904 6.61 1840 1849
42174 17.14 1 123748.4 +052206 8.91 1376 1381
42181 28.84 1 123751.2 -403214 0.00 3257 3285
42205 17.46 1 123806.9 +100456 0.00 1602 1609
42207 100.93 1 123800.5 -200751 0.00 8755 8957
42215 99.08 1 123813.3 +285613 11.45 7564 7715
42224 36.98 3 123818.4 -413012 9.29 3412 3443
42230 20.80 2 123820.9 +075329 0.00 2119 2131
42231 92.47 1 123828.5 -285618 0.00 8719 8920
42241 14.32 1 123828.4 +041908 0.00 1127 1130
42245 36.81 1 123828.2 -402204 0.00 3688 3724
42255 70.79 1 123835.9 +012409 0.00 5539 5620
42264 147.91 1 123837.3 +102833 10.84 7610 7763
42271 29.79 1 123841.0 -421250 11.23 4202 4249
42275 3.77 2 123840.0 +324600 14.20 571 572
42277 76.56 1 123845.3 +064604 0.00 5941 6035
42309 14.59 1 123904.6 +144349 0.00 1566 1573
42315 111.17 1 123917.1 +264039 11.34 6888 7014
42319 49.66 1 123912.4 +060044 0.00 2765 2786
42331 134.90 1 123918.9 +274624 10.91 6942 7070
42336 11.64 2 123918.8 -003155 10.21 1412 1418
42348 15.07 2 123924.6 +075752 0.00 2404 2420
42353 79.80 1 123927.6 +270608 11.27 7332 7474
42368 80.91 1 123936.6 -425339 11.73 6642 6759
42369 31.92 2 123936.9 -404423 10.13 3960 4002
42396 12.88 2 123951.9 +151751 10.22 949 951
42407 10.22 3 123959.4 -113722 4.99 1439 1444
42408 5.55 1 123959.4 +613632 7.92 269 269
42411 40.36 1 124001.7 -420234 10.03 3308 3337
42426 16.14 1 124011.2 +095346 0.00 2301 2316
42429 10.38 1 124012.9 -054756 0.00 1385 1390
42430 16.75 1 124013.4 +125229 0.00 1883 1892
42437 99.54 1 124016.0 -091756 10.79 6693 6811
42442 16.14 1 124019.7 +155606 11.45 2021 2032
42445 58.34 1 124017.4 -431310 0.00 6631 6747
42447 8.17 3 124023.0 +030703 9.94 1190 1194
42460 44.46 1 124029.7 -410411 12.09 4555 4610
42463 62.81 1 124032.7 -365805 12.16 5994 6089
42475 23.44 1 124050.1 +734308 0.00 1915 1925
42476 36.64 2 124036.9 -050757 8.62 2880 2902
42505 40.36 2 124054.0 -413624 9.22 3522 3555
42510 32.81 3 124055.2 -405834 8.31 2881 2903
42512 131.83 1 124056.2 +292756 11.26 9611 9854
42520 49.66 2 124057.3 +633110 12.07 2611 2629
42521 15.92 1 124058.6 +111104 11.54 954 956
42544 11.53 2 124112.3 +115310 9.57 2594 2612
42548 79.07 1 124116.4 +275111 0.00 8016 8186
42550 15.35 1 124115.7 +112314 10.67 883 885
42562 57.81 1 124124.0 -123651 10.82 4689 4747
42564 95.94 1 124125.4 +134345 11.29 6438 6548
42574 16.37 1 124132.7 +071853 8.66 2125 2137
42575 6.52 1 124132.8 +410856 0.00 764 765
42577 132.43 1 124134.8 -425456 12.47 10669 10968
42586 15.56 1 124139.4 +121450 0.00 1237 1241
42594 93.76 1 124144.5 +350343 10.01 7177 7313
42605 15.70 1 124152.0 +092410 0.00 1360 1365
