#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
2022 53.21 1 003336.1 +024051 0.00 4043 4086
2023 79.43 1 003335.9 +232352 0.00 4846 4908
2035 59.98 1 003402.8 -094219 8.89 3408 3438
2052 23.77 2 003415.5 -274813 8.51 1296 1301
2058 91.20 1 003419.5 -123922 0.00 7702 7858
2069 98.63 1 003429.0 +082702 0.00 9053 9269
2071 18.03 2 003432.7 -300104 12.31 1254 1258
2081 12.08 1 003446.7 -082347 7.66 1317 1321
2085 52.97 1 003448.9 +282436 0.00 3853 3892
2088 89.13 1 003451.0 +393242 0.00 5487 5566
2094 77.27 1 003456.0 +315655 0.00 5592 5675
2098 113.76 1 003506.3 +453145 0.00 4830 4891
2110 87.10 1 003511.2 -435906 0.00 7380 7523
2112 83.18 1 003513.1 -373329 0.00 6997 7126
2121 0.73 2 003522.7 +363016 11.00 -647 -646
2131 65.77 1 003533.9 -025055 0.00 5673 5758
2133 55.46 1 003536.1 -044359 11.18 4702 4760
2134 93.33 1 003536.4 +090727 9.50 4983 5049
2136 74.47 1 003546.6 +241414 0.00 4833 4895
2139 79.07 1 003539.5 +085950 0.00 4720 4779
2144 101.39 1 003550.8 -594138 0.00 9987 10250
2151 33.42 1 003602.0 -095318 0.00 4602 4658
2154 82.79 1 003604.0 +235729 9.52 4938 5002
2159 116.95 1 003610.0 +212752 0.00 8948 9159
2163 38.37 1 003610.5 +043806 0.00 4581 4636
2166 98.63 1 003612.6 -121530 0.00 6381 6488
2194 125.31 1 003645.5 +213404 10.47 8601 8796
2199 71.78 1 003651.3 -282200 11.56 6907 7033
2202 97.72 1 003651.6 +235928 9.30 4285 4334
2215 47.86 1 003706.2 -463838 12.05 3343 3373
2224 179.47 1 003742.4 -141047 0.00 15695 16339
2228 46.34 1 003713.6 -223513 11.37 2748 2768
2231 74.13 1 003721.2 +290857 11.61 4971 5037
2232 54.20 1 003721.5 -195603 0.00 3576 3610
2238 237.68 1 003725.3 -014112 0.00 15652 16292
2253 84.33 1 003746.3 -175058 0.00 5698 5783
2260 60.81 1 003757.8 +050852 0.00 4881 4944
2261 74.82 1 003754.1 +324121 0.00 4521 4575
2268 60.81 1 003757.7 +083806 9.71 4956 5021
2272 131.22 1 003802.6 -533747 0.00 8224 8403
2288 38.73 1 003823.7 +150222 11.15 5037 5104
2294 72.11 1 003828.2 +293730 0.00 5333 5408
2302 82.04 1 003831.8 +301722 0.00 5109 5178
2312 125.31 1 003839.7 +172411 11.36 5120 5189
2316 87.10 1 003848.0 +254303 0.00 6919 7046
2324 133.66 1 003854.7 +070345 0.00 11831 12199
2329 0.63 3 003857.7 +482014 6.90 -463 -463
2332 82.04 1 003900.2 -090052 0.00 5799 5888
2342 42.07 1 003905.1 +060115 11.72 4910 4974
2344 133.66 1 003904.6 +072933 10.95 12027 12407
2358 96.83 1 003918.3 -272057 10.64 6599 6714
2372 144.54 1 003926.3 +064402 10.15 10812 11120
2383 90.78 1 003933.5 -354811 0.00 6194 6296
2387 69.18 1 003934.8 +025314 9.93 4812 4874
2390 69.50 1 003937.7 +085755 10.65 4093 4138
2404 169.04 1 003956.0 +065055 10.69 11620 11974
2417 124.74 1 004013.3 -560911 10.34 8101 8274
2429 0.81 2 004022.1 +414107 5.87 -525 -524
2430 150.66 1 004028.1 +064311 11.36 10985 11302
